Dataset,k,Mode,Recall@10,MRR,eval_count
mimo_en,-,E0,0.6558201058201059,0.5479276895943561,63
mimo_en,10,E1,0.6558201058201059,0.40758377425044084,63
mimo_en,10,E2,0.6558201058201059,0.43852355757117656,63
mimo_en,10,E3,0.6558201058201059,0.3540123456790123,63
mimo_en,10,E4,0.6558201058201059,0.39869614512471657,63
mimo_en,20,E1,0.5526455026455026,0.31451877047115134,63
mimo_en,20,E2,0.5992063492063492,0.38228772990677756,63
mimo_en,20,E3,0.5857142857142859,0.33204837490551775,63
mimo_en,20,E4,0.6097883597883597,0.3923469387755102,63
mimo_ch,-,E0,0.5536666666666668,0.40726984126984145,100
mimo_ch,10,E1,0.5536666666666668,0.21261507936507937,100
mimo_ch,10,E2,0.5536666666666668,0.2170119047619047,100
mimo_ch,10,E3,0.5536666666666668,0.20069841269841265,100
mimo_ch,10,E4,0.5536666666666668,0.18545238095238095,100
mimo_ch,20,E1,0.3017619047619048,0.1067063492063492,100
mimo_ch,20,E2,0.31926190476190475,0.10567460317460313,100
mimo_ch,20,E3,0.2622619047619047,0.09770238095238092,100
mimo_ch,20,E4,0.33759523809523806,0.15628968253968253,100
ottqa,-,E0,0.7743682310469314,0.499510056730273,554
ottqa,10,E1,0.7743682310469314,0.44322961434874814,554
ottqa,10,E2,0.7743682310469314,0.45282935075353836,554
ottqa,10,E3,0.7743682310469314,0.4045011747177814,554
ottqa,10,E4,0.7743682310469314,0.4178578591484729,554
ottqa,20,E1,0.7725631768953068,0.3704859320382782,554
ottqa,20,E2,0.7779783393501805,0.3998789467652283,554
ottqa,20,E3,0.7256317689530686,0.3168529024124692,554
ottqa,20,E4,0.7527075812274369,0.36065268465990447,554
feta,-,E0,0.5489021956087824,0.25999271298672494,501
feta,10,E1,0.5489021956087824,0.24881665240946685,501
feta,10,E2,0.5489021956087824,0.2719354940911827,501
feta,10,E3,0.5489021956087824,0.2383550359598264,501
feta,10,E4,0.5489021956087824,0.2412468713366917,501
feta,20,E1,0.562874251497006,0.2264257199885942,501
feta,20,E2,0.5489021956087824,0.23125891074992883,501
feta,20,E3,0.5109780439121756,0.20495200076038383,501
feta,20,E4,0.4930139720558882,0.20603237968507432,501
e2ewtq,-,E0,0.5901639344262295,0.22152615144418422,61
e2ewtq,10,E1,0.5901639344262295,0.18477101223002862,61
e2ewtq,10,E2,0.5901639344262295,0.1963570127504553,61
e2ewtq,10,E3,0.5901639344262295,0.1920699973978662,61
e2ewtq,10,E4,0.5901639344262295,0.18721701795472276,61
e2ewtq,20,E1,0.3770491803278688,0.11586000520426748,61
e2ewtq,20,E2,0.3770491803278688,0.1051392141556076,61
e2ewtq,20,E3,0.36065573770491804,0.10641425969294821,61
e2ewtq,20,E4,0.36065573770491804,0.09764506895654436,61
mmqa,-,E0,0.6464381720430107,0.8959341397849463,248
mmqa,10,E1,0.6464381720430107,0.8629848310291857,248
mmqa,10,E2,0.6464381720430107,0.8700188812083973,248
mmqa,10,E3,0.6464381720430107,0.8648377496159753,248
mmqa,10,E4,0.6464381720430107,0.8602454557091654,248
mmqa,20,E1,0.6030913978494621,0.8816420250896055,248
mmqa,20,E2,0.6024193548387095,0.8738463261648743,248
mmqa,20,E3,0.6044354838709676,0.8760304659498208,248
mmqa,20,E4,0.6057795698924728,0.8718349974398362,248
